Distrito;NACE1;NACE2;Numero_Empregados;Num_anos_disponiveis_base;Variacao_das_vendas;Variacao_resultado_operacional;Variacao_do_activo;Variacao_dos_capitais_proprios;Variacao_do_ativo_circulante;Variacao_das_existencias;Variacao_do_imobilizado;Fundo_de_maneio;REPV;Prazo_medio_de_recebimento;Liquidez_geral;Liquidez_reduzida;Solvabilidade;Autonomia_financeira;Endividamento;Estrutura_financeira;Passivo_de_curto_prazo_a_dividir_passivo_total;Custos_dos_encargos_financeiros_dividir_resultado_operacional;Rendibilidade_operacional_vendas;Rendibilidade_liquida_das_vendas;Rendibilidade_do_ativo;Rendibilidade_capitais_proprios;Passivo_curto_prazo_dividir_vendas;Peso_das_amortizacoes_dividir_vendas;Peso_encargos_financeiros_dividir_vendas;Produtividade_por_trabalhador;Certificacao_legal_contas;Insolvencia
1;13;133;104;10;-0.047668975;-0.342730483;-0.184070076;-0.346445542;-0.202449035;-0.261168307;-0.158201546;-345492;21.21079365;79.38746648;0.845176035;0.742395189;0.478966532;0.323852079;0.676147618;2.087828551;1;-9.612955643;-0.134980896;-0.116463344;-0.171672166;-0.346445542;0.320475847;0.116445049;0.01404156;0.936363782;1;0
1;14;143;43;5;-0.058445918;-0.336753037;-0.012531387;0.012286935;0.003292265;0.431920427;-0.24755023;4728184;91.67726578;57.80023283;3.36311249;3.264324438;2.532935098;0.71694923;0.28305077;0.394798904;1;16.36528191;0.078632308;0.065543387;0.168019348;0.237232685;0.052696123;0.008239341;0.004804825;2.881886243;1;0
1;13;139;17;10;0.009047675;-0.289803706;0.078333327;0.065911962;0.098692365;0.062070782;-0.116706666;1005063;2.946807282;110.2961612;1.709868961;0.835485997;0.853360154;0.460439463;0.539560537;1.171838169;1;3.613415743;0.027243385;0.020479618;0.028471834;0.065911962;0.054477998;0;0.00753951;1.666401666;1;0
1;14;143;503;10;-0.230967121;-0.272351488;-0.12443527;-0.389545558;0.603331414;0.020347655;-0.561035202;-497682;4.378610073;205.4850833;0.964122455;0.692909405;0.404116948;0.28780861;0.71219139;2.474531212;1;-4.088232586;-0.126686079;-0.09949003;-0.084143997;-0.178473036;0.388662554;0.022764833;0.030987982;0.882641717;1;0
5;13;139;208;10;-0.096633893;-0.216542547;-0.033931236;-0.007392067;-0.01878382;-0.047467313;-0.112392872;14111107;3.056495593;140.1218632;2.532050124;1.390462232;1.974240777;0.663779742;0.336220258;0.50652383;1;17.86048159;0.245517193;0.182480263;0.214078426;0.320130203;0.123887519;0.034944048;0.013746393;3.391245653;1;0
1;14;141;205;10;-0.005725962;-0.162770252;0.092729117;0.124865281;0.107842013;-0.295778968;-0.111146645;4275123;23.44661558;199.9214871;5.940299784;5.645786652;5.293599058;0.841108404;0.158891596;0.188907393;1;12.47076881;0.107413488;0.088442613;0.097039225;0.129776442;0.353408648;0.013143324;0.008613221;1.392603164;1;0
3;14;141;87;4;-0.264036397;-0.162728343;-0.27452033;0.505863779;-0.34478199;-0.111486534;-0.06232879;620310;33.19089405;55.22673979;2.560583266;2.244350744;2.77394424;0.735024742;0.264974592;0.360497513;1;5.597312733;0.093260617;0.088781022;0.246916354;0.505863779;0.338372288;0.041814906;0.016661677;1.432925857;1;0
1;14;141;48;10;0.040989241;-0.120981247;-0.092125445;0.032558637;-0.092883398;0.267465831;-0.089779757;1483450;3.749220708;76.46888927;3.441499149;1.986365985;3.55612428;0.780515206;0.219484794;0.28120502;1;7.488479393;0.079809136;0.059771252;0.071571568;0.09468341;0.15743022;0.037360992;0.010657589;1.866059982;1;0
1;13;131;32;10;0.012374325;-0.094370713;-0.108802719;0.003120543;-0.120993219;-0.211744977;-0.092538727;5485358;0.792045432;93.71502125;32.44408649;8.84015294;56.54908626;0.982623432;0.017376469;0.017683752;1;0.745226665;0.006235104;0.009265423;0.003009964;0.00307275;0.130725004;0.13725385;0.008366722;2.201821069;1;0
1;13;132;262;6;-0.138576857;-0.056923311;-0.024735696;0.024559645;-0.017509278;0.201115067;-0.057897814;8869976;1.771673448;97.68788386;5.16914654;2.446870734;5.249258764;0.839981022;0.160018978;0.190503087;1;13.67343105;0.03618164;0.035348001;0.027280489;0.033275142;0.323637591;0.047324572;0.002646127;1.292505005;1;0
